Country,State,Table Number,effective date,expiration date,key1,key2,key3,key4,Factor
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Building,AA,,0.031
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Contents,AA,,0.029
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Building,A,,0.035
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Contents,A,,0.034
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Building,AB,,0.044
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Contents,AB,,0.041
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Building,B,,0.061
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory I,Contents,B,,0.055
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Building,AA,,0.056
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Contents,AA,,0.046
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Building,A,,0.062
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Contents,A,,0.051
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Building,AB,,0.075
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Contents,AB,,0.059
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Building,B,,0.114
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory II,Contents,B,,0.091
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Building,AA,,0.078
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Contents,AA,,0.066
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Building,A,,0.088
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Contents,A,,0.074
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Building,AB,,0.106
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Contents,AB,,0.086
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Building,B,,0.164
USA,NJ,BGII(LC),8/1/2020,1/1/2999,Territory III,Contents,B,,0.139
USA,NJ,B.(1)(LC),8/1/2020,1/1/2999,,,,,0.045
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Residential Apartments and Condominiums,,,,0.214
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Offices,,,,0.24
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Mercantile - High,,,,0.239
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Mercantile - Medium,,,,0.209
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Mercantile - Low,,,,0.152
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Motels and Hotels,,,,0.115
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Institutional - High,,,,0.083
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Institutional - Low,,,,0.074
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Industrial and Processing - High,,,,0.22
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Industrial and Processing - Low,,,,0.179
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Service - High,,,,0.218
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Service - Low,,,,0.146
USA,NJ,C.(2)(LC),8/1/2020,1/1/2999,Contractors,,,,0.28
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Building,,1,0.113
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Contents,,1,0.113
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Building,,2,0.102
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Contents,,2,0.102
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Building,,3,0.091
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Contents,,3,0.095
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Building,,4,0.073
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Contents,,4,0.084
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Building,,5 or 6,0.067
USA,NJ,85.(LC),8/1/2020,1/1/2999,74,Contents,,5 or 6,0.08
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Building,,1,0.113
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Contents,,1,0.113
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Building,,2,0.102
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Contents,,2,0.102
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Building,,3,0.091
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Contents,,3,0.095
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Building,,4,0.073
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Contents,,4,0.084
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Building,,5 or 6,0.067
USA,NJ,85.(LC),8/1/2020,1/1/2999,75,Contents,,5 or 6,0.08
